Provincia,Localidad,Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G
JUJUY,Cangrejillos,181,0,0,0,1,0,0,0,0,0
JUJUY,El Cóndor,146,0,0,0,0,0,0,0,0,0
JUJUY,La Intermedia,178,0,0,0,1,0,0,0,0,0
JUJUY,La Quiaca,16874,1,0,0,1,1,1,1,0,1
JUJUY,Llulluchayoc,91,0,0,0,0,0,0,0,0,0
JUJUY,Pumahuasi,233,0,0,0,1,0,0,0,0,1
JUJUY,San Jose,0,0,0,0,0,0,0,0,0,0
JUJUY,Yavi,378,0,0,0,0,0,0,0,0,0
JUJUY,Yavi Chico,33,0,0,0,1,0,0,0,0,0
LA PAMPA,Doblas,1586,0,1,0,1,1,1,1,0,0
LA PAMPA,Macachín,4814,0,0,0,1,1,1,1,0,1
LA PAMPA,Miguel Riglos,2034,0,0,0,1,1,1,1,0,1
LA PAMPA,Rolón,678,0,0,0,0,1,1,1,0,1
LA PAMPA,Tomas M. Anchorena,307,0,0,0,0,1,0,1,0,0
LA PAMPA,Anzoategui,68,0,0,0,0,1,0,0,0,0
LA PAMPA,La Adela,1904,0,1,0,0,1,1,0,1,1
LA PAMPA,Anguil,1705,0,0,0,1,1,1,1,1,1
MENDOZA,San Martín,79476,1,0,0,1,0,1,0,1,1
MENDOZA,Tres Porteñas,2545,0,0,0,1,0,1,1,1,1
MENDOZA,25 de Mayo,1450,0,1,1,0,0,1,1,1,1
MENDOZA,Barrio Campos El Toledano,956,0,0,0,0,0,0,0,1,1
MENDOZA,Barrio Echeverria,0,0,0,0,0,0,0,0,1,1
MENDOZA,Barrio El Nevado,160,0,0,0,0,0,0,0,0,0
MENDOZA,Barrio Empleados de Comercio,208,0,0,0,0,0,0,0,0,0
MENDOZA,Barrio Intendencia,120,0,0,0,0,0,0,0,1,1
MENDOZA,Barrio Las Rosas,0,0,0,0,0,0,0,0,0,0
MENDOZA,Barrio Primavera,0,0,0,0,0,0,0,0,0,0
MENDOZA,Capitán Montoya,362,0,0,0,0,0,1,0,1,1
MENDOZA,Cuadro Benegas,1253,1,0,0,1,0,1,1,0,0
MENDOZA,Cuadro Nacional,0,0,0,0,0,0,0,0,1,1
MENDOZA,El Nihuil,1030,0,0,0,0,1,1,1,0,0
MENDOZA,El Sosneado,65,0,0,0,1,0,0,0,0,0
MENDOZA,El Tropezón,462,0,0,0,0,0,0,0,0,0
MENDOZA,Goudge,2126,0,1,0,0,0,1,1,1,1
NEUQUEN,Neuquén,231198,1,1,1,1,1,1,1,1,1
NEUQUEN,Plaza Huincul,13172,0,0,0,0,1,1,0,1,1
NEUQUEN,Plottier,32390,1,1,0,1,1,1,0,1,1
NEUQUEN,Senillosa,7542,0,0,0,1,1,1,1,1,1
NEUQUEN,Villa El Chocón,707,0,0,0,0,0,1,1,0,1
NEUQUEN,Vista Alegre Norte,895,0,0,0,0,0,1,0,1,1
NEUQUEN,Vista Alegre Sur,1513,0,0,0,0,1,0,0,0,0
NEUQUEN,Junín de los Andes,12621,1,1,0,1,1,1,1,1,1
SAN LUIS,Potrerillo,40,0,0,0,0,0,1,0,0,0
SAN LUIS,Puerta Colorada,0,0,0,0,0,0,0,0,0,0
RIO NEGRO,General Enrique Godoy,3112,0,0,0,1,1,1,0,1,1
RIO NEGRO,General Fernández Oro,6772,1,0,1,1,1,1,1,1,1
RIO NEGRO,General Roca,81534,1,1,1,1,1,1,1,1,1
RIO NEGRO,Ingeniero Luis A. Huergo,6227,1,0,1,1,1,1,1,1,1
RIO NEGRO,Ingeniero Otto Krause,295,0,0,0,0,0,1,0,0,0
RIO NEGRO,Mainqué,1848,0,0,0,0,1,1,0,0,1
RIO NEGRO,Paso Córdova,1024,0,0,0,0,0,1,0,0,0
RIO NEGRO,Península Ruca Co,158,0,0,0,0,0,0,0,0,0
RIO NEGRO,Peñas Blancas,0,0,0,0,0,1,0,0,0,0
RIO NEGRO,Puente Cero,653,0,0,0,0,0,1,0,1,1
RIO NEGRO,Sargento Vidal,814,0,0,0,1,0,1,0,0,1
RIO NEGRO,Tres Luces,0,0,0,0,0,0,0,0,0,0
RIO NEGRO,Villa Alberdi,693,0,0,0,0,0,1,0,0,0
RIO NEGRO,Villa del Parque,432,0,0,0,0,0,1,0,0,0
RIO NEGRO,Villa Manzano,2697,0,0,0,1,1,1,1,1,1
SAN JUAN,Villa Mercedes,1439,0,0,0,0,1,1,1,0,1
SAN JUAN,Barrio Municipal,973,0,0,0,0,0,0,0,0,0
SAN JUAN,Barrio Ruta 40,231,0,0,0,0,0,0,0,1,1
SAN JUAN,Carpintería,1134,0,0,0,0,0,0,1,0,1
SAN JUAN,La Rinconada,0,0,0,0,0,0,0,0,1,1
SAN JUAN,Las Piedritas,588,0,0,0,0,0,0,0,0,0
SAN JUAN,Quinto Cuartel,1661,0,0,0,0,0,1,1,1,1
SAN JUAN,Villa Aberastain,0,0,0,0,0,0,1,0,1,1
SAN JUAN,Villa Aberastain - La Rinconada,15409,1,0,1,0,1,1,1,0,0
SAN JUAN,Villa Barbosa - Villa Nacusi,24240,0,0,0,0,0,1,0,1,1
SAN JUAN,Villa Barboza,0,0,0,0,0,0,0,0,1,1
SAN JUAN,Villa Centenario,778,0,0,0,0,0,0,0,1,1
SAN JUAN,Villa Nacusi,0,0,0,0,0,0,0,0,0,0
SAN JUAN,El Medanito,0,0,0,0,0,0,1,0,1,0
SAN JUAN,Rawson,109424,1,0,1,0,0,1,1,1,1
SAN JUAN,Villa Bolaños,520,0,0,0,0,0,0,0,0,0
SAN JUAN,Villa Krause,0,0,0,0,0,0,1,0,1,1
SANTA CRUZ,Puerto Deseado,14183,1,0,1,0,1,0,1,1,1
SANTA CRUZ,Tellier,58,0,0,0,0,0,0,0,0,0
SANTA CRUZ,28 de Noviembre,6145,0,0,0,1,1,1,1,1,1
SANTA CRUZ,El Turbio (Est. Gobernador Mayer),55,0,0,0,0,1,0,0,0,0
SANTA CRUZ,Julia Dufour,293,0,0,0,0,0,0,0,0,1
SANTA CRUZ,Mina 3,27,0,0,0,0,0,0,0,1,0
SANTA CRUZ,Río Gallegos,95796,1,1,1,1,1,0,1,1,1
SANTA CRUZ,Rospentek,677,0,0,0,0,0,0,1,0,0
SANTA CRUZ,Yacimientos Río Turbio,8814,1,0,0,0,1,0,1,1,1
SANTA CRUZ,El Calafate,16655,1,0,0,0,1,1,1,1,1
SANTA CRUZ,El Chaltén,1627,0,0,0,1,1,1,1,0,0
SANTA CRUZ,Tres Lagos,282,0,0,0,0,1,0,1,0,0
SANTA CRUZ,Los Antiguos,3363,0,0,1,0,1,1,1,0,1
SAN LUIS,Rincon Del Carmen,0,0,0,0,0,0,0,0,0,0
SAN LUIS,San Fernando,0,0,0,0,0,0,0,0,0,0
SAN LUIS,San Isidro,0,0,0,0,0,0,0,0,0,0
SAN LUIS,San Martín,697,1,0,1,0,0,1,1,0,0
SAN LUIS,San Vicente,0,0,0,0,0,0,0,0,0,0
SAN LUIS,Tala Verde,0,0,0,0,0,0,0,0,0,0
SAN LUIS,Villa de Praga,181,0,0,0,0,1,1,1,0,0
SANTA CRUZ,Comandante Luis Piedrabuena,6405,1,1,1,0,1,1,1,1,1
SANTA CRUZ,Puerto Santa Cruz,4431,1,1,1,0,1,0,1,0,1
SANTA CRUZ,Caleta Olivia,51733,0,1,0,1,1,1,0,1,1
SANTA CRUZ,Cañadón Seco,879,0,0,0,1,1,1,0,1,0
SANTA CRUZ,Fitz Roy,326,0,0,0,0,0,0,0,1,1
SANTA CRUZ,Jaramillo,420,0,0,0,0,0,1,1,0,0
SANTA CRUZ,Koluel Kaike,250,0,0,0,0,0,0,0,1,1
SANTA CRUZ,Las Heras,17821,0,0,0,1,1,1,0,1,1
SANTA CRUZ,Pico Truncado,20889,0,0,0,1,1,1,0,1,1
SANTA CRUZ,Perito Moreno,4617,0,1,1,0,1,0,1,1,1
SANTA CRUZ,Puerto San Julián,7894,1,1,1,0,1,1,1,1,1
SANTA CRUZ,Bajo Caracoles,33,0,0,0,0,1,0,0,0,0
SANTA CRUZ,Gobernador Gregores,4497,0,0,0,1,1,0,1,0,0
